 Mean Average at n=15400000 is: 187.23628951274864
Temporal Mean Average at n=15500000 is: 187.63758680630232
Temporal Mean Average at n=15600000 is: 188.02338801048174
Temporal Mean Average at n=15700000 is: 188.39972089234647
Temporal Mean Average at n=15800000 is: 188.7908259095547
Temporal Mean Average at n=15900000 is: 189.20102387428682
Temporal Mean Average at n=16000000 is: 189.61905709744605
Temporal Mean Average at n=16100000 is: 190.00584011340732
Temporal Mean Average at n=16200000 is: 190.32450772435638
Temporal Mean Average at n=16300000 is: 190.54847300604445
Temporal Mean Average at n=16400000 is: 190.7085085956441
Temporal Mean Average at n=16500000 is: 190.831751676473
Temporal Mean Average at n=16600000 is: 190.92617809616476
Temporal Mean Average at n=16700000 is: 191.00421653259704
Temporal Mean Average at n=16800000 is: 191.06455826813965
Temporal Mean Average at n=16900000 is: 191.1301194722031
Temporal Mean Average at n=17000000 is: 191.1998944647078
Temporal Mean Average at n=17100000 is: 191.2744016640052
Temporal Mean Average at n=17200000 is: 191.33810332490157
Temporal Mean Average at n=17300000 is: 191.3826891510342
Temporal Mean Average at n=17400000 is: 191.40039312992545
Temporal Mean Average at n=17500000 is: 191.39913215997186
Temporal Mean Average at n=17600000 is: 191.3911508398584
Temporal Mean Average at n=17700000 is: 191.38690156199146
Temporal Mean Average at n=17800000 is: 191.40544412279604
Temporal Mean Average at n=17900000 is: 191.47721340823978
Temporal Mean Average at n=18000000 is: 191.6163183214815
Temporal Mean Average at n=18100000 is: 191.8071771307987
Temporal Mean Average at n=18200000 is: 192.0297611637392
Temporal Mean Average at n=18300000 is: 192.27171005584677
Temporal Mean Average at n=18400000 is: 192.49945276085617
Temporal Mean Average at n=18500000 is: 192.67995062758496
Temporal Mean Average at n=18600000 is: 192.82014332852492
Temporal Mean Average at n=18700000 is: 192.92570759765002
Temporal Mean Average at n=18800000 is: 193.00231822248165
Temporal Mean Average at n=18900000 is: 193.04512274315067
Temporal Mean Average at n=19000000 is: 193.06435821024974
Temporal Mean Average at n=19100000 is: 193.03073870215522
Temporal Mean Average at n=19200000 is: 192.95016116357434
Temporal Mean Average at n=19300000 is: 192.85493602048638
Temporal Mean Average at n=19400000 is: 192.79090420316703
Temporal Mean Average at n=19500000 is: 192.7719851201265
Temporal Mean Average at n=19600000 is: 192.80787571675427
Temporal Mean Average at n=19700000 is: 192.90118109247436
Temporal Mean Average at n=19800000 is: 193.0421588309472
Temporal Mean Average at n=19900000 is: 193.22942223567856
Temporal Mean Average at n=20000000 is: 193.50179590811916
Final Average is: 193.50179590811916m.
